"Article" "Mean" "Maximum" "Total (Year)"
"Climate Policy (journal)" 6 139 18869
"Climate-friendly school" 6 98 16414
"CO2balance" 6 244 17047
"IPCC supplementary report, 1992" 6 87 16073
"List of areas depopulated due to climate change" 6 440 16200
"Mayors National Climate Action Agenda" 6 98 17415
"Middle Miocene Climatic Optimum" 6 99 16931
"Millennium Alliance for Humanity and the Biosphere" 6 88 16216
"Ministry of Climate, Energy and Utilities (Denmark)" 6 166 17489
"Mumbai Climate Action Plan" 6 89 16575
"Pan-Canadian Framework on Clean Growth and Climate Change" 6 181 16184
"Reference re Greenhouse Gas Pollution Pricing Act" 6 256 18458
"Renewable energy sculpture" 6 76 18859
"Singularity (climate)" 6 75 18294
"State of the Climate" 6 64 17903
"Theoretical and Applied Climatology" 6 138 18510
"United Kingdom National Renewable Energy Action Plan" 6 36 16092
"Agency for New and Renewable Energy Research and Technology" 5 151 14032
"Amundsen-Nobile Climate Change Tower" 5 56 14991
"Boston Green New Deal" 5 221 14799
"Carbon neutrality in India" 5 232 15620
"Climate change and food security in Africa" 5 380 13320
"Climate change in Namibia" 5 142 15654
"Climate change in Papua New Guinea" 5 7076 13569
"Climate change in Saudi Arabia" 5 124 13696
"Climate change in Sudan" 5 83 15034
"Climate change in the Gambia" 5 127 13953
"Climate change in Uruguay" 5 65 15888
"Climate Change Response (Emissions Trading) Amendment Act 2008" 5 97 13934
"Climate Change: Global Risks, Challenges and Decisions" 5 115 13666
"Climate Data Operators" 5 120 15295
"Climate gentrification" 5 754 13439
"Climate Justice Action" 5 43 14558
"Climate of Morocco" 5 113 15419
"Climate of South Brazil" 5 132 15921
"Climate-Alliance Germany" 5 73 14756
"Direct deep-sea carbon dioxide injection" 5 133 15835
"Early Eocene Climatic Optimum" 5 232 13299
"Effects of climate change on health in the United Kingdom" 5 1118 15570
"Germany National Renewable Energy Action Plan" 5 65 15263
"Global Warming: The Signs and The Science" 5 36 13635
"Great March for Climate Action" 5 130 14163
"Greenhouse Development Rights" 5 96 14625
"Greenhouse Gases Observing Satellite-2" 5 134 13625
"Indigenous Peoples Climate Change Assessment Initiative" 5 114 13755
"International Indigenous Peoples Forum on Climate Change" 5 81 13823
"List of extreme temperatures in Vatican City" 5 141 15843
"List of landmarks destroyed or damaged by climate change" 5 1208 15619
"List of planned renewable energy projects" 5 80 15197
"London Climate Change Agency" 5 127 14407
"Midwestern Greenhouse Gas Reduction Accord" 5 47 14491
"Ministry of Electricity, Water and Renewable Energy (Kuwait)" 5 61 14959
"Monsoon continental climate" 5 113 13962
"Muslim Seven Year Action Plan on Climate Change" 5 55 14153
"New South Wales Greenhouse Gas Abatement Scheme" 5 42 13500
"Ozone Mapping and Profiler Suite" 5 32 13372
"Renewable Energy Certificates Registry" 5 112 14580
"Sea level rise in New Zealand" 5 100 15602
"Tarawa Climate Change Conference" 5 87 15301
"Territorial Approach to Climate Change" 5 89 14545
"The Greenhouse Conspiracy" 5 472 15998
"Timeline of international climate politics" 5 82 14015
"United Nations Special Envoy on Climate Change" 5 186 14795
"World Climate Programme" 5 69 15408
"World Council for Renewable Energy" 5 83 13562
"2000 United Nations Climate Change Conference" 4 285 12003
"2026 United Nations Climate Change Conference" 4 1286 12127
"American Association of State Climatologists" 4 83 11492
"Australian Greenhouse Office" 4 44 13132
"Bangladesh Climate Change Resilience Fund" 4 35 10534
"Bjerknes Centre for Climate Research" 4 140 11433
"Boulder Climate Action Plan" 4 322 10297
"Centre for Renewable Energy" 4 22 12318
"Chicago Climate Action Plan" 4 33 11662
"Civil Society Coalition on Climate Change" 4 29 10528
"Climate appraisal" 4 80 10600
"Climate Case Ireland" 4 70 11379
"Climate change and crime" 4 88 13121
"Climate Change Commission" 4 127 12575
"Climate change in Brunei" 4 64 12711
"Climate change in Eswatini" 4 68 11024
"Climate change in Kuwait" 4 90 12267
"Climate change in Lesotho" 4 59 11054
"Climate change in Libya" 4 131 10554
"Climate change in Malawi" 4 43 11264
"Climate change in Mozambique" 4 126 10922
"Climate change in Nicaragua" 4 132 12945
"Climate change in South Sudan" 4 85 11983
"Climate change in Syria" 4 119 11366
"Climate change in Tunisia" 4 136 10596
"Climate change litigation and the California Environmental Quality Act" 4 60 10539
"Climate change mitigation framework" 4 132 12024
"Climate Change Response Act 2002" 4 42 12469
"Climate Change TV" 4 47 10790
"Climate Defiance" 4 132 10402
"Climate of Southeast Brazil" 4 51 11122
"Committee on Climate Change Science and Technology Integration" 4 56 10959
"Economists' Statement on Climate Change" 4 833 12438
"Ecosphere (social enterprise)" 4 45 11437
"Effects of climate change on the tropics" 4 105 11368
"Fennec (climate program)" 4 35 10266
"Freedom of Information requests to the Climatic Research Unit" 4 90 11241
"Global Climate Action (portal)" 4 160 11784
"Global Warming: What You Need to Know" 4 35 13063
"High Level Advisory Group on Climate Financing" 4 69 10735
"International Climate Change Partnership" 4 27 11443
"International Comprehensive Ocean-Atmosphere Data Set" 4 62 12867
"International Journal of Greenhouse Gas Control" 4 63 10477
"International Satellite Cloud Climatology Project" 4 444 12427
"List of climate activists" 4 197 12226
"Low Carbon Communities" 4 95 11336
"Middle Eocene Climatic Optimum" 4 43 12014
"Morphoclimatic zones" 4 59 11649
"National Climate Change Secretariat" 4 166 12070
"National Council on Climate Change" 4 109 10643
"Noordwijk Climate Conference" 4 266 12934
"OneClimate" 4 184 11606
"Pacific Climate Warriors" 4 46 12203
"Rapid Climate Change-Meridional Overturning Circulation and Heatflux Array" 4 33 10321
"San Francisco Climate Action Plan" 4 36 10952
"Scorcher: The Dirty Politics of Climate Change" 4 43 10683
"Sea ice emissivity modelling" 4 240 12941
"Starving for honesty climate hunger strike, Berlin, Germany" 4 705 10304
"Surface Ocean Lower Atmosphere Study" 4 110 12189
"The Doubt Machine: Inside the Koch Brothers' War on Climate Science" 4 66 10623
"Transient climate simulation" 4 73 13113
"UK Climate Assembly" 4 174 11638
"UK Health Alliance on Climate Change" 4 293 10918
"Weather, Climate, and Society" 4 28 11156
"World Renewable Energy Network" 4 293 10381
"World Wide Views on Global Warming" 4 97 10355
"1995 United Nations Climate Change Conference" 3 284 8921
"1997 United Nations Climate Change Conference" 3 285 7833
"Asilomar International Conference on Climate Intervention Technologies" 3 52 9113
"Association for Renewable Energy and Clean Technology" 3 179 10175
"Aviation and climate change" 3 325 7886
"Bali Declaration by Climate Scientists" 3 30 8439
"Biber-Danube interglacial" 3 66 8904
"Center for Negative Carbon Emissions" 3 128 10115
"Climate and Development" 3 45 10123
"Climate and vegetation interactions in the Arctic" 3 71 8631
"Climate Cardinals" 3 127 8990
"Climate Change Agreement (UK)" 3 421 8518
"Climate Change and Emissions Management Amendment Act" 3 44 10049
"Climate change in Eritrea" 3 142 9969
"Climate change in Iceland" 3 90 8713
"Climate change in Malta" 3 47 7325
"Climate change in Mongolia" 3 99 8978
"Climate change in Portugal" 3 40 7931
"Climate change in Slovakia" 3 300 7641
"Climate club" 3 80 7809
"Climate Crisis Advisory Group" 3 112 9779
"Climate Doctrine of the Russian Federation" 3 84 9227
"Climate Law and Governance Initiative" 3 42 7629
"Climate Mirror" 3 88 9688
"Climate Nexus" 3 80 8956
"Climate Vulnerability Index" 3 63 7424
"CO2 is Green" 3 70 10213
"Danube-Gunz interglacial" 3 44 8761
"Effects of climate change on health in the Philippines" 3 174 9731
"European Climate Forum" 3 137 9322
"Forward on Climate" 3 34 8289
"Generation Climate Europe" 3 168 8712
"German Climate Consortium" 3 61 7695
"Global Climate and Energy Project" 3 41 9579
"Global Climate Network" 3 85 8056
"Global Day of Climate Action 2020" 3 159 9373
"Global Paleoclimate Indicators" 3 51 8680
"Grande-Synthe climate case" 3 153 7643
"Gussing Renewable Energy" 3 54 8082
"How to Prepare for Climate Change" 3 70 8896
"India Climate Collaborative" 3 59 7949
"Interim Climate Change Committee" 3 82 9027
"Journal for Geoclimatic Studies" 3 50 7311
"Low Carbon Vehicle Event" 3 66 8012
"Ministry of Environment and Climate Change (Qatar)" 3 104 9593
"Monthly Climatic Data for the World" 3 116 7704
"New England Governors and Eastern Canadian Premiers Climate Change Action Plan 2001" 3 31 9701
"Pan African Climate Justice Alliance" 3 78 8837
"Pastoral Greenhouse Gas Research Consortium" 3 17 7323
"Peter Cox (climatologist)" 3 109 9308
"Poland National Renewable Energy Action Plan" 3 59 9364
"Premier's Climate Change Council" 3 67 8295
"Program for Climate Model Diagnosis and Intercomparison" 3 102 7430
"San Diego Climate Action Plan" 3 62 9683
"Save the Climate" 3 71 8957
"Sea level rise in Venice" 3 85 8004
"Supercritical carbon dioxide blend" 3 142 8698
"Sweden National Renewable Energy Action Plan" 3 35 9212
"Tianjin Climate Exchange" 3 26 9301
"U.S. Climate Change Technology Program" 3 42 8102
"Urbanization and Global Environmental Change Project" 3 24 7726
"Wadebridge Renewable Energy Network" 3 33 8747
"World Climate Change Conference, Moscow" 3 31 7770
"World Mayors Council on Climate Change" 3 40 8328
"XCO2" 3 31 9744
"1996 United Nations Climate Change Conference" 2 284 6774
"1999 United Nations Climate Change Conference" 2 285 7302
"2001 United Nations Climate Change Conference (Bonn)" 2 286 7059
"Climate Action Africa" 2 439 5781
"Climate Action Network Latin America" 2 240 6689
"Climate change adaptation in Ghana" 2 79 5809
"Climate Change and Energy Transition Act" 2 64 6820
"Climate change and society" 2 44 6275
"Climate change in Bosnia and Herzegovina" 2 49 6601
"Climate change in British Columbia" 2 56 4499
"Climate change in Burundi" 2 45 6253
"Climate change in Chile" 2 43 7117
"Climate change in Georgia (country)" 2 45 6781
"Climate change in Kiribati" 2 75 6302
"Climate change in Mali" 2 47 6811
"Climate change in Mauritius" 2 151 6090
"Climate change in music" 2 105 5137
"Climate change in New Brunswick" 2 116 6159
"Climate change in the Democratic Republic of the Congo" 2 41 7016
"Climate change in the Pacific Islands" 2 162 7246
"Climate change in Zambia" 2 24 6452
"Climate emergency declarations in New Zealand" 2 165 6653
"Climate migration and water rights" 2 145 4417
"Climate of the Cook Islands" 2 26 6773
"Climate prediction" 2 36 7052
"Climate Solutions Road Tour" 2 50 7104
"Climatism" 2 87 5036
"Copenhagen Climate Challenge" 2 107 7029
"Cultural heritage at risk from climate change" 2 220 7038
"Department of Climate, Energy and the Environment" 2 69 4643
"EU Day for the Victims of the Global Climate Crisis" 2 318 4544
"European Assembly for Climate Justice" 2 72 6517
"Gallery Climate Coalition" 2 123 5149
"Ghana Climate Innovation Centre" 2 231 5317
"Global Climate and Health Alliance" 2 61 7031
"Global Roundtable on Climate Change" 2 21 7217
"Heat waves and climate change" 2 710 5437
"High Council on Climate" 2 99 6284
"IMO Net-Zero Framework" 2 190 6532
"Jockey Club Museum of Climate Change" 2 105 5048
"Johannesburg Renewable Energy Coalition" 2 21 6901
"Maldivian Youth Climate Network" 2 18 6476
"Mars carbon dioxide ice cloud" 2 232 6495
"Ministry of Climate Policy and Green Growth" 2 42 6577
"National Oceanic and Atmospheric Administration Climate and Societal Interactions Program" 2 18 5995
"National Solar Conference and World Renewable Energy Forum 2012" 2 26 6101
"New and Renewable Energy Authority" 2 49 7189
"Pan-African Media Alliance on Climate Change" 2 28 5655
"Presbyterian Church (U.S.A.) Carbon Neutral Resolution" 2 29 6404
"Program on Energy Efficiency in Artisanal Brick Kilns in Latin America to Mitigate Climate Change" 2 92 6627
"Renewable energy and mining" 2 25 4408
"South Pacific Sea Level and Climate Monitoring Project" 2 43 5664
"Stratospheric Processes And their Role in Climate" 2 46 6413
"Template:Climate change in Canada" 2 16 4625
"Template:Climate-change-stub" 2 85 6501
"Transatlantic Climate Bridge" 2 39 6887
"VAMOS Ocean-Cloud-Atmosphere-Land Study" 2 137 6996
"Whole Atmosphere Community Climate Model" 2 68 6147
"1st Special Envoy for Drought and climate change of Somalia" 1 125 3711
"2027 United Nations Climate Change Conference" 1 382 3520
"African Climate Policy Centre" 1 86 3566
"Canadian Centre for Climate Modelling and Analysis" 1 19 3984
"Carbon dioxide recorder" 1 44 4208
"Climate and Environment Sciences Laboratory" 1 59 3903
"Climate change and sexual and reproductive health and rights in Africa" 1 69 3654
"Climate change and the Syrian civil war" 1 68 3008
"Climate change in Alberta" 1 38 4332
"Climate change in Cape Verde" 1 40 4140
"Climate change in Central Asia" 1 58 3483
"Climate change in Guinea-Bissau" 1 31 3545
"Climate change in London" 1 27 2985
"Climate change in Saint Kitts and Nevis" 1 102 3845
"Climate change in Saint Lucia" 1 80 4011
"Climate change in Samoa" 1 75 3763
"Climate change in Seychelles" 1 44 3782
"Climate change in Southeast Asia" 1 44 3670
"Climate change in the Northern Mariana Islands" 1 74 2953
"Climate change in Western Australia" 1 34 3709
"Climate Change Isn't Everything: Liberating Climate Politics from Alarmism" 1 39 3958
"Climate change protests in Australia" 1 53 4150
"Climate Denial Crock of the Week" 1 12 4307
"Climate Fiction Prize" 1 97 3871
"Climate finance in the United States" 1 112 3294
"Climate finance in Zimbabwe" 1 58 4035
"Climate Heritage Network" 1 90 3233
"Climate Severity Index" 1 150 3373
"College of Climate Change and Environmental Science" 1 17 4195
"COP8 (climate conference)" 1 11 3048
"Effects of climate change on hantavirus" 1 330 3827
"Effects of global warming on the United Arab Emirates" 1 37 3713
"Ethics of climate change" 1 48 4300
"Exploring Climate Cooling Programme" 1 93 3224
"Glacial geoengineering" 1 111 4086
"Global Climate Action Partnership" 1 25 3143
"Greenhouse gas emissions by Indonesia" 1 29 3127
"Greenhouse gas emissions by Iran" 1 59 3107
"Greenhouse gas emissions by Malaysia" 1 45 3142
"Human climate niche" 1 101 4119
"Migration and Global Environmental Change" 1 14 3388
"Ministry of Climate Change and Environmental Coordination" 1 43 3380
"Monitoring of geological carbon dioxide storage" 1 151 3122
"Nigeria's Climate Change Act, 2021" 1 55 3664
"Obligations of States in respect of climate change" 1 450 3162
"Politics of climate change in the United States" 1 13 2929
"Sharply continental climate" 1 599 2960
"Space for Climate Observatory" 1 34 3398
"Template:Climate-change-book-stub" 1 58 3716
"Template:Climate-change-doc-film-stub" 1 17 3443
"Thermal Equilibrium of the Atmosphere with a Given Distribution of Relative Humidity" 1 774 4361
"Transient climate response" 1 84 3070
"Walloon platform for the IPCC" 1 46 4144
